"batch_id","product_id","title","url","viewport","viewport_width","viewport_height","response_status","document_scroll_width","document_scroll_height","horizontal_overflow","h1_count","heading_hierarchy_valid","image_count","broken_image_count","quote_form_present","cta_count","internal_link_count","banned_phrases","screenshot_truncated","screenshot_path","screenshot_bytes","viewport_screenshot_path","viewport_screenshot_bytes","qa_status","qa_failures","error"
"BATCH-09","829","Custom Vial Boxes for Glass Vials, Ampoules and Lab Samples","http://localhost/hopgiayvpn/product/custom-vial-packaging-box/","mobile-390","390","844","200","390","18846","false","1","true","22","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-09/829-custom-vial-packaging-box-mobile-390.png","1368009","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-09/829-custom-vial-packaging-box-mobile-390-viewport.png","94046","PASS","",""
"BATCH-10","239","Custom Pizza Packaging Box","http://localhost/hopgiayvpn/product/custom-pizza-packaging-box/","desktop-1440","1440","1000","200","1440","10774","false","1","true","12","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-10/239-custom-pizza-packaging-box-desktop-1440.png","1637271","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-10/239-custom-pizza-packaging-box-desktop-1440-viewport.png","311004","PASS","",""
"BATCH-10","239","Custom Pizza Packaging Box","http://localhost/hopgiayvpn/product/custom-pizza-packaging-box/","mobile-390","390","844","200","390","16875","false","1","true","12","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-10/239-custom-pizza-packaging-box-mobile-390.png","1171800","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-10/239-custom-pizza-packaging-box-mobile-390-viewport.png","93118","PASS","",""
"BATCH-10","1026","CUSTOM GREEN BIRD NEST COMPARTMENT GIFT BOX","http://localhost/hopgiayvpn/product/custom-green-bird-nest-compartment-gift-box/","desktop-1440","1440","1000","200","1440","10765","false","1","true","20","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-10/1026-custom-green-bird-nest-compartment-gift-box-desktop-1440.png","1688161","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-10/1026-custom-green-bird-nest-compartment-gift-box-desktop-1440-viewport.png","361515","PASS","",""
"BATCH-10","1026","CUSTOM GREEN BIRD NEST COMPARTMENT GIFT BOX","http://localhost/hopgiayvpn/product/custom-green-bird-nest-compartment-gift-box/","mobile-390","390","844","200","390","16282","false","1","true","20","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-10/1026-custom-green-bird-nest-compartment-gift-box-mobile-390.png","1167802","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-10/1026-custom-green-bird-nest-compartment-gift-box-mobile-390-viewport.png","103255","PASS","",""
"BATCH-11","230","Custom Pastry Display Box with Drawer","http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/","desktop-1440","1440","1000","200","1440","10891","false","1","true","20","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-11/230-custom-pastry-display-box-with-drawer-desktop-1440.png","1672097","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-11/230-custom-pastry-display-box-with-drawer-desktop-1440-viewport.png","299259","PASS","",""
"BATCH-11","230","Custom Pastry Display Box with Drawer","http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/","mobile-390","390","844","200","390","16546","false","1","true","20","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-11/230-custom-pastry-display-box-with-drawer-mobile-390.png","1188083","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-11/230-custom-pastry-display-box-with-drawer-mobile-390-viewport.png","102236","PASS","",""
"BATCH-11","1024","CUSTOM GREEN BIRD NEST GIFT BOX WITH HANDLE","http://localhost/hopgiayvpn/product/custom-green-bird-nest-gift-box-with-handle/","desktop-1440","1440","1000","200","1440","10814","false","1","true","18","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-11/1024-custom-green-bird-nest-gift-box-with-handle-desktop-1440.png","1568753","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-11/1024-custom-green-bird-nest-gift-box-with-handle-desktop-1440-viewport.png","237725","PASS","",""
"BATCH-11","1024","CUSTOM GREEN BIRD NEST GIFT BOX WITH HANDLE","http://localhost/hopgiayvpn/product/custom-green-bird-nest-gift-box-with-handle/","mobile-390","390","844","200","390","16268","false","1","true","18","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-11/1024-custom-green-bird-nest-gift-box-with-handle-mobile-390.png","1140382","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-11/1024-custom-green-bird-nest-gift-box-with-handle-mobile-390-viewport.png","79162","PASS","",""
"BATCH-12","231","Custom Wine Drawer Box with Insert","http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/","desktop-1440","1440","1000","200","1440","10905","false","1","true","18","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-12/231-custom-wine-drawer-box-with-insert-desktop-1440.png","1721911","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-12/231-custom-wine-drawer-box-with-insert-desktop-1440-viewport.png","375072","PASS","",""
